1,0.144013,0.144
2,0.220121,0.220032
3,0.262273,0.263105
4,0.289451,0.289343
5,0.306624,0.306453
6,0.318094,0.318288
7,0.328259,0.326874
8,0.333175,0.333337
9,0.337979,0.338339
10,0.341811,0.342291
11,0.344641,0.34546
12,0.348652,0.348031
13,0.3502,0.350131
14,0.351708,0.351855
15,0.3527,0.353272
16,0.354595,0.354437
17,0.354288,0.355392
18,0.35634,0.356169
19,0.356742,0.356796
20,0.357888,0.357293
21,0.358264,0.35768
22,0.358321,0.357969
23,0.357528,0.358175
24,0.35813,0.358306
25,0.358932,0.358373
26,0.35792,0.358382
27,0.358284,0.35834
28,0.357922,0.358253
29,0.358427,0.358125
30,0.357727,0.357842
31,0.357597,0.355344
32,0.357494,0.347611
33,0.357302,0.347838
34,0.356484,0.318033
35,0.356754,0.321703
36,0.356783,0.233615
37,0.356191,0.251944
38,0.355178,0.250339
39,0.355565,0.250681
